file,binary,rep,instructions,task_clock_ms,rc
a16incdec.a16,postfix,1,18013289,15.82,0
a16incdec.a8,prefix,1,18043911,16.68,0
a16incdec.a8,postfix,1,18016690,15.31,0
a16indirdst.a16,prefix,1,13847326,14.14,0
a16indirdst.a16,postfix,1,13784448,14.03,0
a16indirdst.a8,prefix,1,13706540,14.48,0
a16indirdst.a8,postfix,1,13759183,14.20,0
a16indiry.a16,prefix,1,14434436,15.38,0
a16indiry.a16,postfix,1,14421607,15.36,0
a16indiry.a8,prefix,1,14374827,15.63,0
a16indiry.a8,postfix,1,14399868,15.18,0
a16isr.a16,prefix,1,16314462,15.12,0
a16isr.a16,postfix,1,16358944,15.62,0
a16isr.a8,prefix,1,16313208,15.54,0
a16isr.a8,postfix,1,16221156,15.49,0
a16loadcall.a16,prefix,1,32510666,22.45,0
a16loadcall.a16,postfix,1,32574289,22.26,0
a16loadcall.a8,prefix,1,32472736,21.73,0
a16loadcall.a8,postfix,1,32508515,22.35,0
a16loadfold.a16,prefix,1,14166724,14.51,0
a16loadfold.a16,postfix,1,14174968,15.14,0
a16loadfold.a8,prefix,1,14151798,14.92,0
a16loadfold.a8,postfix,1,14147507,14.91,0
a16local.a16,prefix,1,14209516,14.67,0
a16local.a16,postfix,1,14218187,14.57,0
a16local.a8,prefix,1,14191927,13.91,0
a16local.a8,postfix,1,14208614,17.26,0
a16localbit.a16,prefix,1,15602884,17.82,0
a16localbit.a16,postfix,1,15560728,15.24,0
a16localbit.a8,prefix,1,15601228,15.40,0
a16localbit.a8,postfix,1,15558939,15.05,0
a16localimm.a16,prefix,1,13937810,14.81,0
a16localimm.a16,postfix,1,13913247,15.83,0
a16localimm.a8,prefix,1,13902665,16.90,0
a16localimm.a8,postfix,1,13946141,17.22,0
a16localsub.a16,prefix,1,14254364,16.50,0
a16localsub.a16,postfix,1,14313829,17.07,0
a16localsub.a8,prefix,1,14192156,15.43,0
a16localsub.a8,postfix,1,14180400,15.27,0
a16localx.a16,prefix,1,17709160,15.95,0
a16localx.a16,postfix,1,17705157,15.70,0
a16localx.a8,prefix,1,17740479,16.34,0
a16localx.a8,postfix,1,17677026,15.69,0
a16loop.a16,prefix,1,15766750,15.97,0
a16loop.a16,postfix,1,15933020,16.19,0
a16loop.a8,prefix,1,15765833,16.52,0
a16loop.a8,postfix,1,15841635,16.35,0
a16loopred.a16,prefix,1,14534229,15.10,0
a16loopred.a16,postfix,1,14471523,15.08,0
a16loopred.a8,prefix,1,14523101,15.03,0
a16loopred.a8,postfix,1,14463957,15.67,0
a16mix1.a16,prefix,1,28228125,21.58,0
a16mix1.a16,postfix,1,28245587,20.84,0
a16mix1.a8,prefix,1,28154411,21.18,0
a16mix1.a8,postfix,1,28261149,27.50,0
a16mix2.a16,prefix,1,30657780,22.49,0
a16mix2.a16,postfix,1,30842377,23.46,0
a16mix2.a8,prefix,1,30725762,21.27,0
a16mix2.a8,postfix,1,30809326,21.39,0
a16mixfold.a16,prefix,1,18900276,17.46,0
a16mixfold.a16,postfix,1,18875286,16.22,0
a16mixfold.a8,prefix,1,18904258,16.46,0
a16mixfold.a8,postfix,1,18881186,16.11,0
a16ptr.a16,prefix,1,14478865,15.00,0
a16ptr.a16,postfix,1,14467434,16.19,0
