# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
20230802-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
920302-1.c	compile-error	vendor/c-torture/execute/920302-1.c:41:12: error: incompatible pointer types passing 'short (*)[5]' to parameter of type 'short *' [-Wincompatible-pointer-types]
920409-1.c	compile-error	vendor/c-torture/execute/920409-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920410-1.c	compile-error	vendor/c-torture/execute/920410-1.c:5:22: error: array is too large (40'000 elements)
920411-1.c	compile-error	vendor/c-torture/execute/920411-1.c:17:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920415-1.c	compile-error	vendor/c-torture/execute/920415-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920428-1.c	compile-error	vendor/c-torture/execute/920428-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920428-2.c	compile-error	vendor/c-torture/execute/920428-2.c:5:3: error: parameter 'i' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920429-1.c	compile-error	vendor/c-torture/execute/920429-1.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920501-1.c	compile-error	vendor/c-torture/execute/920501-1.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920501-7.c	compile-error	vendor/c-torture/execute/920501-7.c:12:3: error: parameter 'a' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920501-8.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
920501-9.c	compile-error	vendor/c-torture/execute/920501-9.c:11:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920520-1.c	compile-error	vendor/c-torture/execute/920520-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920603-1.c	compile-error	vendor/c-torture/execute/920603-1.c:2:3: error: parameter 'got' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920612-2.c	compile-error	vendor/c-torture/execute/920612-2.c:11:5: error: function definition is not allowed here
920721-2.c	compile-error	vendor/c-torture/execute/920721-2.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920721-3.c	compile-error	vendor/c-torture/execute/920721-3.c:2:15: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920721-4.c	compile-error	vendor/c-torture/execute/920721-4.c:9:29: error: function definition is not allowed here
920726-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
920728-1.c	compile-error	vendor/c-torture/execute/920728-1.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920730-1.c	compile-error	vendor/c-torture/execute/920730-1.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920731-1.c	compile-error	vendor/c-torture/execute/920731-1.c:2:3: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920812-1.c	compile-error	vendor/c-torture/execute/920812-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
920908-2.c	compile-error	vendor/c-torture/execute/920908-2.c:8:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplicit-
