# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
nestfunc-6.c	compile-error	vendor/c-torture/execute/nestfunc-6.c:15:3: error: function definition is not allowed here
nestfunc-7.c	compile-error	vendor/c-torture/execute/nestfunc-7.c:16:5: error: function definition is not allowed here
pr101188.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr103052.c	compile-error	vendor/c-torture/execute/pr103052.c:5:2: error: use of unknown builtin '__builtin_exit' [-Wimplicit-function-declaration]
pr103209.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr103376.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr103405.c	compile-error	vendor/c-torture/execute/pr103405.c:25:3: error: function definition is not allowed here
pr103417.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr104814.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr104839.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr105613.c	compile-error	vendor/c-torture/execute/pr105613.c:4:18: error: __int128 is not supported on this target
pr105777.c	compile-error	vendor/c-torture/execute/pr105777.c:3:10: fatal error: '../../gcc.dg/tree-ssa/pr105777.c' file not found
pr105984.c	compile-error	vendor/c-torture/execute/pr105984.c:8:8: error: use of unknown builtin '__builtin_mul_overflow_p' [-Wimplicit-function-declaration]
pr107879.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr107881-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr108064.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr108292.c	compile-error	vendor/c-torture/execute/pr108292.c:12:33: error: address of vector element requested
pr108498-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr109938.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr109986.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr110165-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110166-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110252-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110252-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110252-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110666-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr110817-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr111331-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr111422.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr111431-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr111863-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr112581-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr113787.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr114207.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr114965.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr115033.c	compile-error	vendor/c-torture/execute/pr115033.c:34:3: error: use of unknown builtin '__builtin_exit' [-Wimplicit-function-declaration]
pr17377.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr19689.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr22061-1.c	compile-error	vendor/c-torture/execute/pr22061-1.c:12:7: error: call to undeclared library function 'alloca' with type 'void *(__size_t)' (aka 'void *(unsigned int)'); ISO C99 and late
pr22061-3.c	compile-error	vendor/c-torture/execute/pr22061-3.c:7:28: error: function definition is not allowed here
pr22061-4.c	compile-error	vendor/c-torture/execute/pr22061-4.c:8:28: error: function definition is not allowed here
pr24135.c	compile-error	vendor/c-torture/execute/pr24135.c:11:5: error: function definition is not allowed here
pr28865.c	compile-error	vendor/c-torture/execute/pr28865.c:3:20: error: initialization of flexible array member is not allowed
pr28982b.c	compile-error	vendor/c-torture/execute/pr28982b.c:21:20: error: array is too large (65'536 elements)
pr29797-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr30314.c	compile-error	vendor/c-torture/execute/pr30314.c:3:10: fatal error: '../../gcc.dg/tree-ssa/pr30314.c' file not found
pr31072.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr31448.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr36038.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr37573.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr38151.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr38533.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr39100.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr39228.c	compile-error	vendor/c-torture/execute/pr39228.c:9:10: error: use of unknown builtin '__builtin_isinff' [-Wimplicit-function-declaration]
pr39339.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr41935.c	compile-error	vendor/c-torture/execute/pr41935.c:9:23: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
pr43220.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr43784.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr44852.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr44942.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr45262.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr47237.c	compile-error	vendor/c-torture/execute/pr47237.c:16:3: error: use of unknown builtin '__builtin_apply' [-Wimplicit-function-declaration]
pr47538.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr50865.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr51447.c	compile-error	vendor/c-torture/execute/pr51447.c:22:7: error: function definition is not allowed here
pr51581-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr51581-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr51933.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr52286.c	link-other	PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug.
pr52760.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr52979-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr52979-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr53645-2.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr53645.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr53688.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr55875.c	compile-error	vendor/c-torture/execute/pr55875.c:4:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
pr56205.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr56799.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr57124.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr57130.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr57344-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr57344-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr57344-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr57344-4.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr57829.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr58431.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr58570.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr58574.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr58943.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr58984.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr59229.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr59358.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr59643.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr60003.c	compile-error	vendor/c-torture/execute/pr60003.c:11:22: error: incompatible pointer types passing 'unsigned long long (*)[5]' to parameter of type 'void **' [-Wincompatible-pointer-typ
pr60822.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr60960.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr61517.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr61673.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr61682.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr63302.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr63641.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr64006.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr64242.c	compile-error	vendor/c-torture/execute/pr64242.c:12:3: error: __builtin_longjmp is not supported for the current target
pr64260.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr64957.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr64979.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65053-2.c	link-other	PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug.
pr65216.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65369.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65401.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65418-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65418-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65427.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr65648.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr65956.c	link-other	PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug.
pr66233.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr66556.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr66940.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr67226.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr67714.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr67781.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr68185.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr68249.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr68250.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr68390.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr68532.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr68648.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr68841.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr69403.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr69691.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr70127.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr70460.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr70602.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr71494.c	compile-error	vendor/c-torture/execute/pr71494.c:10:3: error: function definition is not allowed here
pr71631.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr7284-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr77718.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr78170.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr78586.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr78720.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr78791.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr79043.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr79327.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr80153.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr80421.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr80692.c	compile-error	vendor/c-torture/execute/pr80692.c:5:2: error: GNU decimal type extension not supported
pr81556.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr81588.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr81913.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr82210.c	compile-error	vendor/c-torture/execute/pr82210.c:9:57: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
pr82954.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr83362.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr83477.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr84339.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr84521.c	compile-error	vendor/c-torture/execute/pr84521.c:9:3: error: __builtin_longjmp is not supported for the current target
pr84524.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr84748.c	dg-require-unsupported	requires int128 (16-bit-int target cannot satisfy)
pr85156.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr85169.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
pr85331.c	compile-error	vendor/c-torture/execute/pr85331.c:12:8: error: use of unknown builtin '__builtin_shuffle' [-Wimplicit-function-declaration]
pr86231.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr86528.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr86714.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr87290.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr88693.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr89195.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr89634.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr90025.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr90348.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr91137.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr92140.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr92618.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr92904.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr93213.c	dg-require-unsupported	requires int128 (16-bit-int target cannot satisfy)
pr93249.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr93434.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr93908.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr93945.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr94134.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr94524-2.c	undefined-symbol	ld.lld: error: undefined symbol: __modti3 (+1 more)
pr94567.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr94591.c	compile-error	vendor/c-torture/execute/pr94591.c:9:8: error: use of unknown builtin '__builtin_shuffle' [-Wimplicit-function-declaration]
pr94734.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr95731.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr97073.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr97421-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
pr97764.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
pr98304-2.c	compile-error	vendor/c-torture/execute/pr98304-2.c:3:10: fatal error: '../../gcc.dg/pr98304-1.c' file not found
pr98366.c	compile-error	vendor/c-torture/execute/pr98366.c:4:44: error: width of bit-field 'e' (17 bits) exceeds the width of its type (16 bits)
printf-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
printf-2.c	undefined-symbol	ld.lld: error: undefined symbol: __osmaperrno (+5 more)
printf-chk-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
return-addr.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
scal-to-vec1.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
scal-to-vec2.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
scal-to-vec3.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
shiftdi-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
shiftdi.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
simd-5.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
simd-6.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
stkalign.c	link-other	PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug.
strcpy-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strct-pack-3.c	compile-error	vendor/c-torture/execute/strct-pack-3.c:9:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
strlen-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strlen-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strlen-4.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strlen-5.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strlen-6.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
strlen-7.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
struct-ret-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
tstdi-1.c	compile-error	vendor/c-torture/execute/tstdi-1.c:6:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
user-printf.c	undefined-symbol	ld.lld: error: undefined symbol: __osmaperrno (+5 more)
usmul.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
va-arg-21.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
va-arg-24.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
va-arg-7.c	undefined-symbol	ld.lld: error: undefined symbol: debug
va-arg-8.c	undefined-symbol	ld.lld: error: undefined symbol: debug
va-arg-pack-1.c	compile-error	vendor/c-torture/execute/va-arg-pack-1.c:125:33: error: use of unknown builtin '__builtin_va_arg_pack' [-Wimplicit-function-declaration]
vfprintf-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
vfprintf-chk-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
vprintf-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
vprintf-chk-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
vrp-5.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
vrp-6.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
